energy,jerk,torque_changes,vfe,kld,bs,un,ig,vfe_squared
41.435139944594034,3435.6197007132973,26229.566514822563,322.5590469837189,57.4256261959672,43.78913830220699,167.0930939912796,101.21476449817419,104044.33879104495
46.68889391200769,7804.742694621926,24431.166969776557,358.7567992210388,73.76655595749617,61.568141996860504,171.36496663093567,135.33469795435667,128706.44098732476
92.8324419500444,15819.992702151243,79108.80694943454,362.96354365348816,73.62390977144241,58.62646996974945,169.12550818920135,132.25037974119186,131742.53402149762
35.82505005951466,7356.6630469142965,26192.892560993103,342.67152738571167,67.24187212437391,57.42109514772892,169.91924476623535,124.66296727210283,117423.77568085655
114.39798471932501,16750.74040122683,128417.46218844685,443.6881732940674,82.29042512178421,78.4810896217823,180.2435497045517,160.7715147435665,196859.19512102637
89.76958867348661,9435.24673182632,37489.773179495234,373.2403404712677,81.44149178266525,68.21281273663044,171.2300741672516,149.6543045192957,139308.35175510784
103.11918080798401,15237.492327155405,73096.99664259865,428.62653064727783,76.13343423604965,68.65594743937254,178.6290943622589,144.7893816754222,183720.7027747218
89.21193960824289,12980.486485814035,62997.54383738141,398.42836487293243,75.18001520633698,62.133814707398415,173.83952069282532,137.3138299137354,158745.16193531858
86.0681444990957,10700.285297190934,88857.45529621719,305.7129043340683,70.0297120809555,53.60432620346546,164.26139402389526,123.63403828442097,93460.3798763712
67.02432461843976,15338.564207456011,33466.88857560897,411.6084488630295,67.8095280379057,60.71783247590065,177.82836377620697,128.52736051380634,169421.51517542914
132.36610822727954,14113.915156098883,105087.60515691194,416.24592077732086,64.27304746210575,56.80975588411093,176.87658643722534,121.08280334621668,173260.66656375967
88.1867284040287,12813.396264404037,52094.86017709707,429.96825337409973,71.14457511901855,64.18447960913181,178.32326924800873,135.32905472815037,184872.698909574
93.88410101133088,21964.176029009315,84850.57172299153,391.7723171710968,79.83627566695213,67.52839501202106,173.3261435031891,147.3646706789732,153485.54850161046
112.71884875062038,15225.55139806734,82552.1656900137,401.22055423259735,74.69896523654461,65.78581533581018,176.0292263031006,140.4847805723548,160977.9331387126
59.01714178177204,6445.270592915736,56352.40880204035,330.239826798439,74.37619453668594,61.60401499271393,167.81927597522736,135.98020952939987,109058.34320386301
115.34682029585855,27104.136726643363,89793.94663990308,398.67346358299255,71.47849723696709,60.375805608928204,173.70742881298065,131.8543028458953,158940.5305652597
72.3930461302942,13126.027046591724,37968.64584956199,400.43716156482697,72.3768305182457,63.12753660976887,175.39959597587585,135.50436712801456,160349.92036209535
164.89108920927126,14548.86304832538,122428.5306128304,413.375208735466,65.08093872666359,57.05541907250881,176.8164826631546,122.1363577991724,170879.0631970901
75.12988178799823,13355.587140219437,28662.207502396614,433.4569662809372,77.57708735764027,71.02307792007923,179.6904878616333,148.6001652777195,187884.94161747352
175.4675268830164,19619.697364868945,159185.50809852214,415.6802211999893,71.14471432566643,63.193629398941994,176.7406506538391,134.33834372460842,172790.04629687205
69.01967019916945,34304.130839975165,60169.936284074276,409.2904306650162,62.39479023218155,56.17490556836128,176.72329032421112,118.56969580054283,167518.6566339544
40.583767061418975,7371.802178727682,31204.886370342014,313.98308050632477,65.6018800586462,49.80543392896652,164.68790793418884,115.40731398761272,98585.37484424122
97.94384970310425,10727.178670844616,97813.01685760773,381.949675321579,77.04767568409443,63.40405251085758,171.84824657440186,140.451728194952,145885.5544782596
103.37867002674831,11135.69283790631,85177.65142305386,377.8606301546097,65.02261236310005,57.01222883164883,173.98450124263763,122.03484119474888,142778.65582083873
117.67545340175404,15769.519943790723,105205.98629092923,385.27349746227264,73.34628954529762,64.59232921153307,174.074334025383,137.9386187568307,148435.66784681182
103.29706365920292,10204.560247903522,89687.14942448452,335.4019464254379,82.63295650482178,65.76112839579582,166.5246069431305,148.3940849006176,112494.46566597234
192.58415529291256,18827.442524390273,103392.60372937463,446.2308557033539,79.30911545455456,70.255246758461,179.7049536705017,149.56436221301556,199121.97658174744
119.18541427060511,28552.705137753423,70918.91834386175,425.9984179735184,85.46376682817936,74.42510786652565,176.29741251468658,159.888874694705,181474.65211594047
147.04984752488954,22663.589522776598,166648.07042445926,398.56638276576996,81.6566619426012,69.06135212630033,174.91860675811768,150.71801406890154,158855.16147099025
144.53020199690215,21745.034087573466,225399.80014613198,355.79812133312225,74.57066217064857,62.84576615691185,169.68800795078278,137.41642832756042,126592.30314417918
85.42857120334672,9197.262551983265,24918.46732625005,407.00369560718536,73.89756044745445,63.763648092746735,174.58016514778137,137.6612085402012,165652.0082379064
220.94678825019525,34252.76409159271,133034.8460908949,494.98586106300354,75.87455682456493,71.13555899262428,185.6074651479721,147.01011581718922,245011.00265228303
87.14515150233848,14618.024306642985,64900.45393915362,403.87952876091003,74.82602098584175,62.08044286072254,174.78887903690338,136.9064638465643,163118.67375213475
81.73599108281196,11835.050351431046,58764.57857370364,384.8775280714035,71.04150535166264,59.53673082590103,173.42501986026764,130.57823617756367,148130.711614354
211.01846137746296,23740.88376432784,220559.06883617028,360.7406507730484,71.89151185750961,60.8933349698782,170.33500850200653,132.7848468273878,130133.81712016246
341.6748199236336,33994.02902333543,341781.77822445246,451.7524914741516,85.25753013789654,77.1242404282093,179.29918479919434,162.38177056610584,204080.31355310342
69.8632730063456,19039.749139265383,50718.17341722558,377.10361433029175,75.00242736935616,60.994799479842186,172.0512546300888,135.99722684919834,142207.13594096943
